towed_date_	towed_from	towed_by	hour	Minutes	Time	towed_cars_year	towed_make	towed_model	towed_desc	towed_color	towed_misc	towed_agency	towed_reason__FIXED	towed_reason_code	day_of_week_when_towed	Month_when_towed	Year_when_towed
Friday, April 23, 2010	99 DEVON ST	A-B	14	2:00:00	14:02:00	99	FORD			WHI		DPW	15	15	Friday	April	2010
Friday, April 23, 2010	101 DEVON ST	A-B	14	0:00:00	14:00:00	2	CHRY			BLU		DPW	15	15	Friday	April	2010
Friday, April 23, 2010	DEVON/NORMANDY	A-B	13	53:00:00	13:53:00	99	PLYM			GRN		DPW	15	15	Friday	April	2010
Friday, April 23, 2010	86 BRUNSWICK ST	A-B	13	45:00:00	13:45:00	2	JEEP			GRY		DPW	15	15	Friday	April	2010
Friday, April 23, 2010	NORMANDY/BRUNSWICK	A-B	13	16:00:00	13:16:00	9	TOYT			WHI		DPW	15	15	Friday	April	2010
Friday, April 23, 2010	7 MASCOMA ST	A-B	12	30:00:00	12:30:00	95	HOND			BLK		DPW	15	15	Friday	April	2010
Friday, August 06, 2010	WASH/BRINSLEY	A-B	14	25:00:00	14:25:00	94	CHRY			GRN		DPW	15	15	Friday	August	2010
Friday, August 06, 2010	WASH/STRATHCOMA	A-B	14	21:00:00	14:21:00	5	NISS			RED		DPW	15	15	Friday	August	2010
Friday, August 06, 2010	20 BISHOP JOE L SMITH WY	A-B	14	6:00:00	14:06:00	1	MITS			BLK		DPW	15	15	Friday	August	2010
Friday, August 06, 2010	153 STANWOOD ST	A-B	13	2:00:00	13:02:00	94	TOYT			RED	627880573	PRIVAT	15	CODE 15	Friday	August	2010
Friday, August 06, 2010	55 LAWRANCE AV	A-B	13	2:00:00	13:02:00	98	DODG			GRN	627880536	PRIVAT	15	CODE 15	Friday	August	2010
Friday, August 13, 2010	3 MORSE ST	A-B	14	26:00:00	14:26:00	99	LINC			RED		DPW	15	15---CANCEL---	Friday	August	2010
Friday, August 27, 2010	128 DEVON ST	A-B	14	5:00:00	14:05:00	87	FORD			BLK		DPW	15	15	Friday	August	2010
Friday, August 27, 2010	128 DEVON ST	A-B	14	3:00:00	14:03:00	4	TOYT			SIL		DPW	15	15	Friday	August	2010
Friday, August 27, 2010	PERTH/FAYSTON	A-B	12	54:00:00	12:54:00	2	STRN			SIL		DPW	15	15	Friday	August	2010
Friday, August 27, 2010	9 LAWRENCE AV	A-B	12	37:00:00	12:37:00	0	NISS			BRO		DPW	15	15	Friday	August	2010
Friday, July 02, 2010	51 DEVON ST	A-B	13	10:00:00	13:10:00	4	FORD			SIL		DPW	15	15----CANCEL---	Friday	July	2010
Friday, July 02, 2010	47 DEVON ST	A-B	13	8:00:00	13:08:00	6	TOYT			GRY		DPW	15	15	Friday	July	2010
Friday, July 23, 2010	45 NORMANDY ST	A-B	13	33:00:00	13:33:00	7	TOYT			BLK		DPW	15	15	Friday	July	2010
Friday, July 23, 2010	2 FERNBORO ST	A-B	13	4:00:00	13:04:00	5	DODG			GRY		DPW	15	15	Friday	July	2010
Friday, April 01, 2011	DUDLEY/DEARBORN	A-O	10	33:00:00	10:33:00	3	NISS			BRO		B412	3	3	Friday	April	2011
Friday, December 17, 2010	75 MALCOLM X BL	A-O	11	54:00:00	11:54:00	6	PONT			WHI		B434	3	3	Friday	December	2010
Friday, July 23, 2010	75 UNION PARK ST	A.D. WALSH...269-8697	15	44:00:00	15:44:00	8	CHEV	MAL	4	GRY GRY		PRIVAT	14	CODE 14	Friday	July	2010
Friday, July 09, 2010	334 MASSACHUSETTS AV	A.D.WALSH...269-8697	14	27:00:00	14:27:00	9	TOYT	TK	LL	BLK BLK		PRIVAT	14	CODE 14	Friday	July	2010
Friday, July 09, 2010	230 HARRISON AV	A.D.WALSH...269-8697	13	29:00:00	13:29:00	5	HOND	TK	VN	BLU BLU		PRIVAT	14	CODE 14	Friday	July	2010
Friday, August 13, 2010	HARVARD/NORWELL	A.O	3	20:00:00	3:20:00	97	BMW	540	4	RER RED		POLICE	1	CD 1	Friday	August	2010
Friday, July 09, 2010	1 SCHROEDER PLAZA	A.S.TIRE	11	52:00:00	11:52:00	1	HOND			BLK		B451	11	11	Friday	July	2010
Friday, July 09, 2010	111 BEACH ST	A.S.TIRE	11	55:00:00	11:55:00	0	VOLK			GRY		A426	10	10---TOWED TO H.Q.FOR INVESTIGATION	Friday	July	2010
Friday, April 01, 2011	5 ROSSETER ST	A&B	7	9:00:00	7:09:00	98	AUDI		4	GRY GRY		POLICE	3	CO 03	Friday	April	2011
Friday, April 02, 2010	123 CUSHING AV	A&B	8	35:00:00	8:35:00	0	NISS	MAX	4	BRO BRO	DPW	PRIVAT	15	CODE 15 CANCEL	Friday	April	2010
Friday, April 02, 2010	93 BRUNSWICK ST	A&B	2	19:00:00	2:19:00	0	FORD	EXP	4	WHI WHI	608773620	POLTOW	15	15 CANCEL	Friday	April	2010
Friday, April 02, 2010	95 BRUNSWICK ST	A&B	2	18:00:00	2:18:00	3	FORD	TAU	4	BLK BLK	608773616	POLTOW	15	15 CANCEL	Friday	April	2010
Friday, April 02, 2010	9 LAWRENCE AVE	A&B	13	14:00:00	13:14:00	4	FORD	ECO	4	WHI WHI	DPW	PRIVAT	15	CODE 15 CANCEL	Friday	April	2010
Friday, April 02, 2010	17 CUSHING AV	A&B	9	32:00:00	9:32:00	6	MERC	MAR	4	WHI WHI	604081365	POLTOW	15	15	Friday	April	2010
Friday, April 02, 2010	CUSHING AV & WILBUR ST	A&B	9	32:00:00	9:32:00	96	HOND			GRN GRN	604081376	POLTOW	15	15	Friday	April	2010
Friday, April 02, 2010	7 CUSHING AVE	A&B	9	32:00:00	9:32:00	98	FORD	EXP	4	BLK BLK	604081046	POLTOW	15	15	Friday	April	2010
Friday, April 02, 2010	7 CUSHING AVE	A&B	9	32:00:00	9:32:00	79	MERZ	450	2	RED RED	604081380	POLTOW	15	15	Friday	April	2010
Friday, April 02, 2010	65 CUSHING AVE	A&B	8	37:00:00	8:37:00	4	LEXS	RX3	4	BLU BLU	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 02, 2010	99 CUSHING AVE	A&B	8	36:00:00	8:36:00	99	DODG	INT	4	BRO BRO	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 02, 2010	103 BRUNSWICK ST	A&B	2	11:00:00	2:11:00	98	FORD	CON	4	WHI WHI	608773594	POLTOW	15	15	Friday	April	2010
Friday, April 02, 2010	103 BRUNSWICK ST	A&B	2	11:00:00	2:11:00	2	DODG	RAM	2	GRY GRY	608773561	POLTOW	15	15	Friday	April	2010
Friday, April 02, 2010	18 COLEUS PK	A&B	13	34:00:00	13:34:00	99	VW	PAS	4	BLK	608773535	PRIV	15	CD-15	Friday	April	2010
Friday, April 02, 2010	93 LAWRENCE AVE	A&B	13	17:00:00	13:17:00	10	TOYT	PRI	4	GRY GRY	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 02, 2010	82 LAWRENCE AVE	A&B	13	14:00:00	13:14:00	97	CHEV	BLA	4	GRN GRN	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 02, 2010	9 LAWRENCE AVE	A&B	13	10:00:00	13:10:00	3	NISS	ALT	4	GRY GRY	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 02, 2010	23 LAWRENCE AVE	A&B	13	10:00:00	13:10:00	0	NISS	ALT	4	GRY GRY	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 02, 2010	24 FERNBORO ST	A&B	1	51:00:00	1:51:00	2	DODG	STR	4	BWN BWN	608773546	POLTOW	15	15	Friday	April	2010
Friday, April 02, 2010	111 FLAHERTY WY	A&B	0	4:00:00	0:04:00	1	HOND	CIV	4	YEL YEL		PRIVAT	15	15	Friday	April	2010
Friday, April 08, 2011	6 BRINSLEY ST	A&B	14	43:00:00	14:43:00	94	CHRY	CON	4	GRN		PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	20 SMITH WY	A&B	14	25:00:00	14:25:00	98	TOYT	SIE	2	GRY		PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	132 STANWOOD ST	A&B	14	14:00:00	14:14:00	4	HOND	ACC	4	RED		PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	162 STANWOOD ST	A&B	13	53:00:00	13:53:00	98	HOND	ACC	4	WHI		PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	160 STANWOOD ST	A&B	13	52:00:00	13:52:00	2	CADI	SEV	4	WHI		PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	160 STANWOOD ST	A&B	13	50:00:00	13:50:00	96	HOND	ACC	4	RED		PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	73 BRUNSWICK ST	A&B	13	38:00:00	13:38:00	98	HOND	ACC	4	PUR		PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	73 BRUNSWICK ST	A&B	13	36:00:00	13:36:00	98	HOND	CIV	4	GRN		PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	112 BRUNSWICK ST	A&B	13	30:00:00	13:30:00	95	JEEP	CHE	4	BLK		PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	40 LAWRANCE AVE	A&B	12	57:00:00	12:57:00	98	MERC	MYS	4	BRO BRO	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	88 LAWRANCE AVE	A&B	12	53:00:00	12:53:00	6	CADI	CTS	4	GRY GRY	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	30 LAWRANCE AVE	A&B	12	49:00:00	12:49:00	6	NISS	PAT	4	BLK BLK	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	80 FAYSTON ST	A&B	12	38:00:00	12:38:00	8	SUZI	FOR	4	GRY GRY	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	82 FAYSTON ST	A&B	12	35:00:00	12:35:00	2	NISS	ALT	4	BLK BLK	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	82 FAYSTON ST	A&B	12	32:00:00	12:32:00	3	FORD	VAN	4	GRY GRY	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	82 FAYSTON ST	A&B	12	32:00:00	12:32:00	3	FORD	VAN	4	GRY GRY	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	232 MAGNOLIA ST	A&B	12	21:00:00	12:21:00	99	HOND	CIV	4	GRN GRN	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	194 MAGNOLIA ST	A&B	12	9:00:00	12:09:00	4	HOND	ACC	4	BRN		PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 08, 2011	00 PINCKNEY ST	A&B	8	52:00:00	8:52:00	8	AUDI		2	GRY	BLS	PRIVAT	14	14	Friday	April	2011
Friday, April 08, 2011	143 SYDNEY ST	A&B	10	30:00:00	10:30:00	97	ACUR	INT	4	GRN	CVS	PRIV	14	14	Friday	April	2011
Friday, April 08, 2011	65 BOSTON ST	A&B	15	35:00:00	15:35:00	8	TOYT	COR	4	RED		POLICE	3	3	Friday	April	2011
Friday, April 09, 2010	12 E COTTAGE ST	A&B	9	42:00:00	9:42:00	94	GMC	VAN	4	WHI WHI	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 09, 2010	23 E COTTAGE ST	A&B	9	39:00:00	9:39:00	0	MITS	MIR	4	BLK BLK	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 09, 2010	155 E COTTAGE ST	A&B	8	42:00:00	8:42:00	94	HOND	ACC	4	BLU BLU	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 09, 2010	143 E COTTAGE ST	A&B	8	42:00:00	8:42:00	6	CHEV	COB	2	WHI WHI	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 09, 2010	163 E COTTAGE ST	A&B	8	42:00:00	8:42:00	9	FORD	LGT	4	WHI WHI	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 09, 2010	E COTTAGE & COLUMBIA RD	A&B	8	38:00:00	8:38:00	7	DODG	MAG	4	GRY GRY	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 09, 2010	133 E COTTAGE ST	A&B	8	29:00:00	8:29:00	94	GMC	K15	2	BLU BLU	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 09, 2010	40 CUSHING	A&B	8	9:00:00	8:09:00	10	AUDI	A3		BLK	609948544	POLTOW	15	CODE 15	Friday	April	2010
Friday, April 09, 2010	36 CUSHING	A&B	8	9:00:00	8:09:00	7	HOND	ACC		GRY	609948555	POLTOW	15	CODE 15	Friday	April	2010
Friday, April 09, 2010	20 CUSHING	A&B	8	9:00:00	8:09:00	4	MERC	MAR		BLK	609948570	POLTOW	15	CODE 15	Friday	April	2010
Friday, April 09, 2010	112 DALESSIO CT	A&B	19	48:00:00	19:48:00	10	MAZD		4	BLU	BHA	PRIVAT	14	CODE 14	Friday	April	2010
Friday, April 09, 2010	DORCHESTER/TUDOR	A&B	16	36:00:00	16:36:00	98	MITS	MON	4	GRN GRN		POLICE	5	CODE 05	Friday	April	2010
Friday, April 15, 2011	15 CUSHING AV	A&B	9	2:00:00	9:02:00	99	NISS			BLK BLK		PRIVAT	15	CODE15	Friday	April	2011
Friday, April 15, 2011	153 STANDWOOD ST	A&B	2	26:00:00	2:26:00	94	TOYT	COR	4	RED RED	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 15, 2011	39 DEVON ST EX	A&B	2	11:00:00	2:11:00	96	HOND	ACC	4	GRN GRN	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 15, 2011	39 DEVON ST EX	A&B	2	9:00:00	2:09:00	97	DODG	STR	4	RED RED	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 15, 2011	55 LAWRENCE AV	A&B	13	27:00:00	13:27:00	11	HYUN			GOL GOL		PRIVAT	15	CODE15	Friday	April	2011
Friday, April 15, 2011	7 COLEUS PK	A&B	13	26:00:00	13:26:00	99	NISS			BLK BLK		PRIVAT	15	CODE15	Friday	April	2011
Friday, April 15, 2011	19 FERNBOROUGH ST	A&B	13	25:00:00	13:25:00	10	DODG			BLK BLK		PRIVAT	15	CODE15	Friday	April	2011
Friday, April 15, 2011	5 FAYSTON ST	A&B	13	24:00:00	13:24:00	4	LEXS			GRN GRN		PRIVAT	15	CODE15	Friday	April	2011
Friday, April 15, 2011	DUNKLE/QUINCY	A&B	12	50:00:00	12:50:00	1	GMC	VAN	2	RED RED	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 15, 2011	86 FAYSTON ST	A&B	12	45:00:00	12:45:00	6	DODG	VAN	4	GRY GRY	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 15, 2011	197 MAGNOLIA ST	A&B	12	30:00:00	12:30:00	96	HOND	ACC	4	GRN GRN	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 15, 2011	129 HIGH ST	A&B	12	20:00:00	12:20:00	1	FORD	VAN	4	GRY GRY	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 15, 2011	63 CEYLON ST	A&B	12	20:00:00	12:20:00	96	TOYT	CAM	4	GRN GRN	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 15, 2011	11 MON LYDON WAY	A&B	11	54:00:00	11:54:00	11	NISS	MUR	4	RED RED	641405074	PRIV	15	15	Friday	April	2011
Friday, April 15, 2011	71 PLEASANT ST	A&B	9	3:00:00	9:03:00	9	FORD	FOC	4	BLU BLU	H415D	POLTOW	3	CD 03	Friday	April	2011
Friday, April 16, 2010	MAGNOLIA/BLUEHILL	A&B	13	11:00:00	13:11:00	93	HOND	ACC		BRO	609989870	POLTOW	CANCEL	CANCEL	Friday	April	2010
Friday, April 16, 2010	MAGNOLIA/BLUEHILL	A&B	13	11:00:00	13:11:00	92	TOYT	COR		WHI	609989881	POLTOW	CANCEL	CANCEL	Friday	April	2010
Friday, April 16, 2010	88 LAWRENCE AV	A&B	13	34:00:00	13:34:00	8	HOND	CRV	4	GRY GRY	DPW	PRIVAT	15	CODE 15 -CANCEL TOW	Friday	April	2010
Friday, April 16, 2010	100 LAWRENCE AV	A&B	13	57:00:00	13:57:00	98	CHEV	VEN	VN	GRN	#610348023	DPW	15	CD 15 - CANCEL TOW	Friday	April	2010
Friday, April 16, 2010	GREENHEY ST/MAGNOLIA ST	A&B	12	39:00:00	12:39:00	97	FORD	150	PK	BLK	#609989800	DPW	15	CD 15 - CANCEL TOW	Friday	April	2010
Friday, April 16, 2010	100 LAWRENCE AV	A&B	14	1:00:00	14:01:00	96	TOYT	COR	4	GRN	#610348012	DPW	15	CD 15	Friday	April	2010
Friday, April 16, 2010	88 LAWRENCE AVE	A&B	13	35:00:00	13:35:00	7	TOYT	CAM	4	GRY GRY	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 16, 2010	89 LAWRENCE AVE	A&B	13	34:00:00	13:34:00	98	BMW	540	4	RED RED	DPW	PRIVAT	15	CODE 15	Friday	April	2010
Friday, April 16, 2010	41 FAYSTON ST	A&B	13	11:00:00	13:11:00	97	FORD	ECO		WHI	609989833	POLTOW	15	15	Friday	April	2010
Friday, April 16, 2010	GREENHEY ST/MAGNOLIA ST	A&B	12	44:00:00	12:44:00	3	NISS	SEN	4	BLK	#609989811	DPW	15	CD 15	Friday	April	2010
Friday, April 16, 2010	289 E 8TH ST	A&B	19	36:00:00	19:36:00	2	CHRY	SEB	4	GRN		POLICE	14	CD-14	Friday	April	2010
Friday, April 16, 2010	ADAMS/ LINCOLN ST	A&B	2	2:00:00	2:02:00	96	SAA	900	4	GRN GRN		HT55	11	11	Friday	April	2010
Friday, April 16, 2010	NEPOSET/ ASHMONT ST	A&B	21	46:00:00	21:46:00	97	NISS	MAX	4	GRY		POLICE	3	3	Friday	April	2010
Friday, April 16, 2010	128 CUSHING AV	A&B	8	17:00:00	8:17:00	94	INFI	Q45		GRY	610218840	POLTOW			Friday	April	2010
Friday, April 22, 2011	16 STRACOMA STREET	A&B	2	50:00:00	2:50:00	96	VOLK	JET	4	GRN		DPW	15	CODE 15	Friday	April	2011
Friday, April 22, 2011	16 STRACOMA STREET	A&B	2	47:00:00	2:47:00	99	OLDS	INT	4	RED		DPW	15	CODE 15	Friday	April	2011
Friday, April 22, 2011	4 BRINSLEY ST	A&B	2	42:00:00	2:42:00	10	DODG	CHA	4	BLK		DPW	15	CODE 15	Friday	April	2011
Friday, April 22, 2011	STRACOMA STREET/WASHINGTO	A&B	2	32:00:00	2:32:00	1	ACUR		2	BLU		DPW	15	CODE 15	Friday	April	2011
Friday, April 22, 2011	152 STANDARD ST	A&B	2	11:00:00	2:11:00	0	MERC	SAB	4	BLK BLK	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 22, 2011	154 STANDARD ST	A&B	2	5:00:00	2:05:00	92	TOYT	CAM	4	BRO BRO	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 22, 2011	160 STANDARD ST	A&B	2	3:00:00	2:03:00	0	CHEV	IMP	4	GRY GRY	DPW	PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 22, 2011	40 WILLIS ST	A&B	12	56:00:00	12:56:00	10	DODG			GRY GRY		PRIVAT	15	CODE 15	Friday	April	2011
Friday, April 22, 2011	24 CRESTON STREET	A&B	1	52:00:00	1:52:00	95	NISS	MAX	4	BLK		DPW	15	CODE 15	Friday	April	2011
Friday, April 22, 2011	61 DEVON STREET	A&B	1	49:00:00	1:49:00	10	TOYO	CAM	4	BLK		DPW	15	CODE 15	Friday	April	2011
Friday, April 22, 2011	6 DUNKELD STREET	A&B	1	12:00:00	1:12:00	98	BUIC	REG	4	GRY		DPW	15	CODE 15	Friday	April	2011
Friday, April 22, 2011	38 LAWRENCE STREET	A&B	1	5:00:00	1:05:00	7	NISS	ALT	4	BRN		DPW	15	CODE 15	Friday	April	2011
Friday, April 22, 2011	20 FAYSTON STREET	A&B	1	5:00:00	1:05:00	3	DODG	CAR	4	RED		DPW	15	CODE 15	Friday	April	2011
Friday, April 22, 2011	40 GIBSON ST	A&B	19	32:00:00	19:32:00	99	FORD	EXP	4	GRY		POLICE	1	01 ARREST	Friday	April	2011
